,rmse_avg,rmse_std,mae_avg,mae_std,r2,r2_std,pc-er_avg,pc-er_std,doa,doa_std,rm,rm_std,d_in,num_responses,exec_time,exec_time_avg,exec_time_std
314,0.2807,0.0019,0.1927,0.0013,0.2671,0.012,0.4828,0.0089,0.6542,0.0027,0.4931,0.0094,9.0,11.0,325.61911702156067,325.61911702156067,65.1623961954222
315,0.2781,0.0017,0.1921,0.0015,0.2802,0.0114,0.4827,0.0088,0.6543,0.0028,0.4933,0.0092,9.0,12.0,286.1669080257416,286.1669080257416,57.001978148985145
316,0.2782,0.0013,0.1918,0.001,0.2799,0.0097,0.4818,0.0082,0.6541,0.0028,0.492,0.0086,9.0,13.0,307.02850365638733,307.02850365638733,61.55983534217014
317,0.2758,0.0013,0.1925,0.0012,0.2921,0.0093,0.4796,0.0075,0.6534,0.0025,0.4896,0.0077,9.0,14.0,320.77311062812805,320.77311062812805,64.12853417886895
318,0.292,0.0024,0.2007,0.0015,0.2069,0.0163,0.4898,0.0077,0.6552,0.0024,0.5,0.0081,10.0,5.0,263.9792003631592,263.9792003631592,53.16022309220392
319,0.2884,0.0015,0.1971,0.0012,0.2263,0.0106,0.4906,0.0094,0.6559,0.0029,0.5012,0.01,10.0,6.0,286.4009068012237,286.4009068012237,57.26505126612705
320,0.2841,0.0017,0.1952,0.0013,0.2489,0.0109,0.4876,0.0094,0.6553,0.0028,0.4979,0.01,10.0,7.0,288.56163144111633,288.56163144111633,57.796509945058396
321,0.2824,0.0021,0.1941,0.0016,0.2578,0.0144,0.4865,0.0089,0.6549,0.0028,0.4966,0.0092,10.0,8.0,267.2899293899536,267.2899293899536,53.50730631524299
322,0.2806,0.0021,0.1928,0.0013,0.2674,0.014,0.4852,0.0088,0.6547,0.0028,0.4955,0.009,10.0,9.0,296.73000383377075,296.73000383377075,59.220889359732304
323,0.2803,0.0019,0.1928,0.0017,0.2692,0.0117,0.4837,0.01,0.6542,0.003,0.494,0.0107,10.0,10.0,267.99052929878235,267.99052929878235,53.79653322546017
324,0.2802,0.0016,0.1925,0.0007,0.2693,0.0106,0.4838,0.0084,0.6542,0.0027,0.4939,0.0089,10.0,11.0,301.8647975921631,301.8647975921631,60.75397224654463
